,plotNo,pairNo,nPlots,block,accession_name,intercrop,category,seedlot_name,crop,crop_2,intercrop_accession_name,X,entry
61,61,32,4,Block2,NF12AS-108-4_1,intercrop,WOP_Mirza_selection,NF12AS-108-4_1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_161,Oat,oat-pea,BLAZE,63,63
62,62,33,4,Block2,NF12AS-73-4_3,intercrop,Biomass,NF12AS-73-4_3-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_242,Oat,oat-pea,BLAZE,64,64
63,63,34,4,Block2,NC21-6359N,monocrop,Hull-less,NC21-6359N_LEX25_Nuda_AT_Plot_1203,Oat,oat,NA,51,51
64,64,34,4,Block2,NC21-6359N,intercrop,Hull-less,NC21-6359N_LEX25_Nuda_AT_Plot_1203,Oat,oat-pea,BLAZE,51,51
65,65,35,4,Block2,PA7617-3658,intercrop,WOP_Mirza_selection,PA7617-3658-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_54,Oat,oat-pea,BLAZE,77,77
66,66,35,4,Block2,PA7617-3658,monocrop,WOP_Mirza_selection,PA7617-3658-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_54,Oat,oat,NA,77,77
67,67,36,4,Block2,NC12-3578,monocrop,SOAP_selection,NC12-3578-CU_2025_Ithaca_SOAP_HR-bulk,Oat,oat,NA,32,32
68,68,36,4,Block2,NC12-3578,intercrop,SOAP_selection,NC12-3578-CU_2025_Ithaca_SOAP_HR-bulk,Oat,oat-pea,BLAZE,32,32
69,69,37,4,Block2,FL17539-27,monocrop,UWON,FL17539-27_2026_UWON_Entry_12,Oat,oat,NA,6,6
70,70,37,4,Block2,FL17539-27,intercrop,UWON,FL17539-27_2026_UWON_Entry_12,Oat,oat-pea,BLAZE,6,6
71,71,38,4,Block2,FLLA17088-77,intercrop,WOP_Mirza_selection,FLLA17088-77-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_48,Oat,oat-pea,BLAZE,11,11
72,72,38,4,Block2,FLLA17088-77,monocrop,WOP_Mirza_selection,FLLA17088-77-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_48,Oat,oat,NA,11,11
73,73,39,4,Block2,Juggernaut,monocrop,UWON,Juggernaut_2026_UWON_Entry_02,Oat,oat,NA,17,17
74,74,39,4,Block2,Juggernaut,intercrop,UWON,Juggernaut_2026_UWON_Entry_02,Oat,oat-pea,BLAZE,17,17
75,75,40,4,Block2,FL16504-35,monocrop,UWON,FL16504-35_2026_UWON_Entry_15,Oat,oat,NA,2,2
76,76,40,4,Block2,FL16504-35,intercrop,UWON,FL16504-35_2026_UWON_Entry_15,Oat,oat-pea,BLAZE,2,2
77,77,41,4,Block2,TX18OCS9061,intercrop,UWON,TX18OCS9061_2026_UWON_Entry_07,Oat,oat-pea,BLAZE,87,87
78,78,41,4,Block2,TX18OCS9061,monocrop,UWON,TX18OCS9061_2026_UWON_Entry_07,Oat,oat,NA,87,87
79,79,42,4,Block2,LA17153SBSS-46-1,intercrop,WOP_Mirza_selection,LA17153SBSS-46-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_118,Oat,oat-pea,BLAZE,21,21
80,80,42,4,Block2,LA17153SBSS-46-1,monocrop,WOP_Mirza_selection,LA17153SBSS-46-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_118,Oat,oat,NA,21,21
81,81,43,8,Block2,NO_OAT_PLANTED,monocrop,Monocrop_pea,BLAZE-Cornell_WinterOatPeaIntercrop_2024_Ithaca-bulk,Pea,pea,BLAZE,NA,NA
82,82,44,4,Block2,NC20-4452,monocrop,WOP_Mirza_selection,NC20-4452-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_98,Oat,oat,NA,45,45
83,83,44,4,Block2,NC20-4452,intercrop,WOP_Mirza_selection,NC20-4452-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_98,Oat,oat-pea,BLAZE,45,45
84,84,45,4,Block2,NC21-6357N,intercrop,Hull-less,NC21-6357N_LEX25_Nuda_AT_Plot_1202,Oat,oat-pea,BLAZE,50,50
85,85,45,4,Block2,NC21-6357N,monocrop,Hull-less,NC21-6357N_LEX25_Nuda_AT_Plot_1202,Oat,oat,NA,50,50
86,86,46,4,Block2,HORIZON201,monocrop,WOP_Mirza_selection,HORIZON201-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_199,Oat,oat,NA,15,15
87,87,46,4,Block2,HORIZON201,intercrop,WOP_Mirza_selection,HORIZON201-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_199,Oat,oat-pea,BLAZE,15,15
88,88,47,4,Block2,NC09-4274N,monocrop,Hull-less,NC09-4274N_LEX25-Nuda-AT_Plot_1204,Oat,oat,NA,30,30
89,89,47,4,Block2,NC09-4274N,intercrop,Hull-less,NC09-4274N_LEX25-Nuda-AT_Plot_1204,Oat,oat-pea,BLAZE,30,30
90,90,48,4,Block2,NO_OAT_PLANTED,monocrop,Biomass,BLAZE-Cornell_WinterOatPeaIntercrop_2024_Ithaca-bulk,Pea,pea,BLAZE,NA,NA
91,91,49,4,Block2,FL16507-28,intercrop,UWON,FL16507-28_2026_UWON_Entry_16,Oat,oat-pea,BLAZE,3,3
92,92,49,4,Block2,FL16507-28,monocrop,UWON,FL16507-28_2026_UWON_Entry_16,Oat,oat,NA,3,3
93,93,50,4,Block2,TX19CAS0057,intercrop,UWON,TX19CAS0057_2026_UWON_Entry_06,Oat,oat-pea,BLAZE,90,90
94,94,50,4,Block2,TX19CAS0057,monocrop,UWON,TX19CAS0057_2026_UWON_Entry_06,Oat,oat,NA,90,90
95,95,51,4,Block2,NC20-4702,intercrop,WOP_Mirza_selection,NC20-4702-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_192,Oat,oat-pea,BLAZE,49,49
96,96,51,4,Block2,NC20-4702,monocrop,WOP_Mirza_selection,NC20-4702-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_192,Oat,oat,NA,49,49
97,97,52,4,Block2,FL17542-21,intercrop,UWON,FL17542-21_2026_UWON_Entry_13,Oat,oat-pea,BLAZE,7,7
98,98,52,4,Block2,FL17542-21,monocrop,UWON,FL17542-21_2026_UWON_Entry_13,Oat,oat,NA,7,7
99,99,53,4,Block2,NF99414-1,intercrop,WOP_Mirza_selection,NF99414-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_174,Oat,oat-pea,BLAZE,71,71
100,100,53,4,Block2,NF99414-1,monocrop,WOP_Mirza_selection,NF99414-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_174,Oat,oat,NA,71,71
101,101,54,4,Block2,NC21-6492,monocrop,WOP_Mirza_selection,NC21-6492-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_128,Oat,oat,NA,54,54
102,102,54,4,Block2,NC21-6492,intercrop,WOP_Mirza_selection,NC21-6492-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_128,Oat,oat-pea,BLAZE,54,54
103,103,55,4,Block3,NC14-1554,monocrop,SOAP_selection,NC14-1554-CU_2025_Ithaca_SOAP_HR-bulk,Oat,oat,NA,35,35
104,104,55,4,Block3,NC14-1554,intercrop,SOAP_selection,NC14-1554-CU_2025_Ithaca_SOAP_HR-bulk,Oat,oat-pea,BLAZE,35,35
105,105,56,4,Block3,TX18OCS9104,intercrop,WOP_Mirza_selection,TX18OCS9104-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_37,Oat,oat-pea,BLAZE,88,88
106,106,56,4,Block3,TX18OCS9104,monocrop,WOP_Mirza_selection,TX18OCS9104-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_37,Oat,oat,NA,88,88
107,107,57,4,Block3,PA7617-3658,intercrop,Biomass,PA7617-3658-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_54,Oat,oat-pea,BLAZE,77,77
108,108,58,4,Block3,LA17129SBSS-8-1,monocrop,WOP_Mirza_selection,LA17129SBSS-8-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_165,Oat,oat,NA,20,20
109,109,58,4,Block3,LA17129SBSS-8-1,intercrop,WOP_Mirza_selection,LA17129SBSS-8-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_165,Oat,oat-pea,BLAZE,20,20
110,110,59,4,Block3,LA99016,monocrop,UWON,LA99016_2026_UWON_Entry_01,Oat,oat,NA,27,27
111,111,59,4,Block3,LA99016,intercrop,UWON,LA99016_2026_UWON_Entry_01,Oat,oat-pea,BLAZE,27,27
112,112,60,4,Block3,NF13-4126-4_3,intercrop,WOP_Mirza_selection,NF13-4126-4_3-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_145,Oat,oat-pea,BLAZE,66,66
113,113,60,4,Block3,NF13-4126-4_3,monocrop,WOP_Mirza_selection,NF13-4126-4_3-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_145,Oat,oat,NA,66,66
114,114,61,2,Block3,NC14-1985,intercrop,SOAP_selection,NC14-1985-CU_2025_Ithaca_SOAP_HR-bulk,Oat,oat-pea,BLAZE,39,39
115,115,61,2,Block3,NC14-1985,monocrop,SOAP_selection,NC14-1985-CU_2025_Ithaca_SOAP_HR-bulk,Oat,oat,NA,39,39
116,116,62,4,Block3,NF12AS-73-4_3,monocrop,Keystone_Pea_Test,NF12AS-73-4_3-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_242,Oat,oat,NA,64,64
117,117,62,4,Block3,NF12AS-73-4_3,intercrop,Keystone_Pea_Test,NF12AS-73-4_3-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_242,Oat,oat-pea,KEYSTONE,64,64
118,118,63,4,Block3,NC19-3542,intercrop,WOP_Mirza_selection,NC19-3542-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_261,Oat,oat-pea,BLAZE,43,43
119,119,63,4,Block3,NC19-3542,monocrop,WOP_Mirza_selection,NC19-3542-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_261,Oat,oat,NA,43,43
120,120,64,4,Block3,LA05011GSBSBSB-11,intercrop,SOAP_selection,LA05011GSBSBSB-11-CU_2025_Ithaca_SOAP_HR-bulk,Oat,oat-pea,BLAZE,18,18
121,121,64,4,Block3,LA05011GSBSBSB-11,monocrop,SOAP_selection,LA05011GSBSBSB-11-CU_2025_Ithaca_SOAP_HR-bulk,Oat,oat,NA,18,18
122,122,65,4,Block3,OZARK|POGI,intercrop,Keystone_Pea_Test,OZARK|POGI-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_204,Oat,oat-pea,KEYSTONE,75,75
123,123,65,4,Block3,OZARK|POGI,monocrop,Keystone_Pea_Test,OZARK|POGI-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_204,Oat,oat,NA,75,75
124,124,66,4,Block3,NC18-5877N,monocrop,Hull-less,NC18-5877N_LEX25_Nuda_AT_Plot_1205,Oat,oat,NA,42,42
125,125,66,4,Block3,NC18-5877N,intercrop,Hull-less,NC18-5877N_LEX25_Nuda_AT_Plot_1205,Oat,oat-pea,BLAZE,42,42
126,126,67,4,Block3,NF12AS-108-4_1,intercrop,WOP_Mirza_selection,NF12AS-108-4_1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_161,Oat,oat-pea,BLAZE,63,63
127,127,67,4,Block3,NF12AS-108-4_1,monocrop,WOP_Mirza_selection,NF12AS-108-4_1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_161,Oat,oat,NA,63,63
128,128,68,4,Block3,Gerard 227,intercrop,WOP_Mirza_selection,Gerard 227-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_250,Oat,oat-pea,BLAZE,13,13
129,129,68,4,Block3,Gerard 227,monocrop,WOP_Mirza_selection,Gerard 227-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_250,Oat,oat,NA,13,13
130,130,69,4,Block3,FL17539-25,intercrop,UWON,FL17539-25_2026_UWON_Entry_11,Oat,oat-pea,BLAZE,5,5
131,131,69,4,Block3,FL17539-25,monocrop,UWON,FL17539-25_2026_UWON_Entry_11,Oat,oat,NA,5,5
132,132,70,4,Block3,PA7617-3460,monocrop,WOP_Mirza_selection,PA7617-3460-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_212,Oat,oat,NA,76,76
133,133,70,4,Block3,PA7617-3460,intercrop,WOP_Mirza_selection,PA7617-3460-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_212,Oat,oat-pea,BLAZE,76,76
134,134,71,4,Block3,LA18155SSB-20-2,monocrop,UWON,LA18155SSB-20-2_2026_UWON_Entry_19,Oat,oat,NA,23,23
135,135,71,4,Block3,LA18155SSB-20-2,intercrop,UWON,LA18155SSB-20-2_2026_UWON_Entry_19,Oat,oat-pea,BLAZE,23,23
136,136,72,4,Block3,NF12AS-107-4_4,intercrop,WOP_Mirza_selection,NF12AS-107-4_4-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_359,Oat,oat-pea,BLAZE,62,62
137,137,72,4,Block3,NF12AS-107-4_4,monocrop,WOP_Mirza_selection,NF12AS-107-4_4-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_359,Oat,oat,NA,62,62
138,138,73,4,Block3,NF99414,monocrop,WOP_Mirza_selection,NF99414-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_378,Oat,oat,NA,72,72
139,139,73,4,Block3,NF99414,intercrop,WOP_Mirza_selection,NF99414-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_378,Oat,oat-pea,BLAZE,72,72
140,140,74,4,Block3,TX20CAS1071,intercrop,UWON,TX20CAS1071_2026_UWON_Entry_10,Oat,oat-pea,BLAZE,91,91
141,141,74,4,Block3,TX20CAS1071,monocrop,UWON,TX20CAS1071_2026_UWON_Entry_10,Oat,oat,NA,91,91
142,142,75,8,Block3,NO_OAT_PLANTED,monocrop,Monocrop_pea,BLAZE-Cornell_WinterOatPeaIntercrop_2024_Ithaca-bulk,Pea,pea,BLAZE,NA,NA
143,143,76,4,Block3,FLLA17088-61,monocrop,WOP_Mirza_selection,FLLA17088-61-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_339,Oat,oat,NA,10,10
144,144,76,4,Block3,FLLA17088-61,intercrop,WOP_Mirza_selection,FLLA17088-61-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_339,Oat,oat-pea,BLAZE,10,10
145,145,77,4,Block3,NC21-6429,intercrop,WOP_Mirza_selection,NC21-6429-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_16,Oat,oat-pea,BLAZE,52,52
146,146,77,4,Block3,NC21-6429,monocrop,WOP_Mirza_selection,NC21-6429-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_16,Oat,oat,NA,52,52
147,147,78,4,Block3,NC21-6492,intercrop,WOP_Mirza_selection,NC21-6492-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_128,Oat,oat-pea,BLAZE,54,54
148,148,78,4,Block3,NC21-6492,monocrop,WOP_Mirza_selection,NC21-6492-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_128,Oat,oat,NA,54,54
149,149,79,4,Block3,TX19CAS0057,monocrop,UWON,TX19CAS0057_2026_UWON_Entry_06,Oat,oat,NA,90,90
150,150,79,4,Block3,TX19CAS0057,intercrop,UWON,TX19CAS0057_2026_UWON_Entry_06,Oat,oat-pea,BLAZE,90,90
151,151,80,4,Block3,NF99414-1,intercrop,WOP_Mirza_selection,NF99414-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_174,Oat,oat-pea,BLAZE,71,71
152,152,80,4,Block3,NF99414-1,monocrop,WOP_Mirza_selection,NF99414-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_174,Oat,oat,NA,71,71
153,153,81,4,Block3,SCLA17080SBS-4-2,intercrop,WOP_Mirza_selection,SCLA17080SBS-4-2-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_316,Oat,oat-pea,BLAZE,80,80
154,154,81,4,Block3,SCLA17080SBS-4-2,monocrop,WOP_Mirza_selection,SCLA17080SBS-4-2-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_316,Oat,oat,NA,80,80
155,155,82,4,Block4,NC21-6492,monocrop,Keystone_Pea_Test,NC21-6492-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_128,Oat,oat,NA,54,54
156,156,82,4,Block4,NC21-6492,intercrop,Keystone_Pea_Test,NC21-6492-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_128,Oat,oat-pea,KEYSTONE,54,54
157,157,83,4,Block4,NC17-6440,intercrop,WOP_Mirza_selection,NC17-6440-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_306,Oat,oat-pea,BLAZE,41,41
158,158,83,4,Block4,NC17-6440,monocrop,WOP_Mirza_selection,NC17-6440-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_306,Oat,oat,NA,41,41
