"Genotype","damage_BLUPs","grain_y_BLUPs","pea_y_BLUPs","EV_damage","EV_grain_y","EV_pea_y","SI","SI_damage","SI_grain_y","SI_pea_y","PrEfAsEf"
"NF12AS-73-4_3",-0.824402144445346,-5.83012664820211,-1.70619230416147,-11.95,1,0.5,3.16838282583903,9.85160562612188,-5.83012664820211,-0.853096152080737,-7.53631895236358
"LA17129SBSS-8-1",0.00352682272725242,4.29796857135413,-2.42892529466579,-11.95,1,0.5,3.04136039243057,-0.0421455315906664,4.29796857135413,-1.21446264733289,1.86904327668834
"NF13-4173-4_4",-0.301661386841256,-1.13445642243556,-0.775604161847905,-11.95,1,0.5,2.0825950693935,3.60485357275301,-1.13445642243556,-0.387802080923953,-1.91006058428346
"FLLA11019-8",0.414073079105718,7.93232987912499,-2.95164824336451,-11.95,1,0.5,1.50833246212941,-4.94817329531333,7.93232987912499,-1.47582412168225,4.98068163576048
"NORA",0.121169722044797,0.972977275654582,3.16028767884168,-11.95,1,0.5,1.1051429366401,-1.44797817843532,0.972977275654582,1.58014383942084,4.13326495449626
"NC20-4402",0.191740325346127,3.39791933789027,-0.443028290598543,-11.95,1,0.5,0.885108304704781,-2.29129688788621,3.39791933789027,-0.221514145299272,2.95489104729172
"NF13-4214-4_1",-1.14706914299722,-13.8669970763847,2.08233828992349,-11.95,1,0.5,0.881648327393809,13.7074762588167,-13.8669970763847,1.04116914496174,-11.7846587864612
"NF13-4173-4_5",0.0442642165154323,-5.42431220079308,13.0839098929705,-11.95,1,0.5,0.588685358332746,-0.528957387359416,-5.42431220079308,6.54195494648525,7.65959769217741
"LA17153SBSS-46-1",0.673735346649502,-1.4623413222043,19.4251773742171,-11.95,1,0.5,0.199109972442717,-8.05113739246155,-1.4623413222043,9.71258868710857,17.9628360520128
"TX18OCS9100",-0.519207854768906,-3.67195597619103,-6.70616276955045,-11.95,1,0.5,-0.820503496477835,6.20453386448842,-3.67195597619103,-3.35308138477523,-10.3781187457415
"Juggernaut",0.681092581145632,11.5884684622779,-8.85190977100603,-11.95,1,0.5,-0.976542767915397,-8.1390563446903,11.5884684622779,-4.42595488550301,2.73655869127189
"OKAY",-0.497073037560157,-10.7860128225908,7.57220307219194,-11.95,1,0.5,-1.05988848765094,5.94002279884388,-10.7860128225908,3.78610153609597,-3.21380975039884
"NF12AS-122-4_4",-0.276920739577141,-9.67198989552401,10.5750179598531,-11.95,1,0.5,-1.07527807765061,3.30920283794684,-9.67198989552401,5.28750897992655,0.903028064329101
"NF12AS-100-4_2",0.155296029968425,3.60189046994098,-5.7479618904087,-11.95,1,0.5,-1.12787803338605,-1.85578755812268,3.60189046994098,-2.87398094520435,-2.14607142046772
"LA17153SBSS-55-1",0.157529373136453,4.35196738123045,-8.09579745498117,-11.95,1,0.5,-1.57840735524075,-1.88247600898062,4.35196738123045,-4.04789872749059,-3.74383007375072
"NC17-6440",-0.0204914865481802,-5.27478792494253,6.81149904547041,-11.95,1,0.5,-1.62416513795656,0.244873264250754,-5.27478792494253,3.40574952273521,1.53671112052789
"FLLA17069-65",0.380396333027801,8.28760468491291,-11.5872297567992,-11.95,1,0.5,-2.05174637316893,-4.54573617968222,8.28760468491291,-5.79361487839961,-3.29962507188631
"SCLA17031SBSS-4-1",0.630569986458355,5.93511558980395,-1.03312280669426,-11.95,1,0.5,-2.11675715172053,-7.53531133817734,5.93511558980395,-0.516561403347132,4.90199278310969
"Savage",0.351142166406892,7.98935800446966,-11.938475009555,-11.95,1,0.5,-2.17602838887021,-4.19614888856236,7.98935800446966,-5.96923750477751,-3.94911700508536
"NC21-6475",0.130238305575565,0.29933242834129,-3.54175678982461,-11.95,1,0.5,-3.02789371819901,-1.556347751628,0.29933242834129,-1.7708783949123,-3.24242436148332
"NC20-4795",0.464973294798632,4.94145197808795,-6.46222917762445,-11.95,1,0.5,-3.84609348356793,-5.55643087284366,4.94145197808795,-3.23111458881222,-1.52077719953649
"NF01401B",0.131158753170591,-5.96930734011081,5.30019376759441,-11.95,1,0.5,-4.88655755670217,-1.56734710038856,-5.96930734011081,2.6500968837972,-0.669113572516402
"LA17069SBSS-2-1",0.548360290240891,-5.39070192899578,13.610840898926,-11.95,1,0.5,-5.13818694791145,-6.55290546837865,-5.39070192899578,6.80542044946298,8.22013896993018
"LA08039SBSBS-56-A1",-0.497539786401717,-1.19436807758583,-20.6140767946389,-11.95,1,0.5,-5.55580602740475,5.94560044750051,-1.19436807758583,-10.3070383973194,-21.8084448722247
"NF13-4124-4_3",-0.408112401649951,-18.2379821790615,12.9285884475283,-11.95,1,0.5,-6.89674475558047,4.87694319971692,-18.2379821790615,6.46429422376416,-5.30939373153323
"FLLA17088-61",0.405791479692199,-8.71426492577034,12.9227204830441,-11.95,1,0.5,-7.10211286657008,-4.84920818232177,-8.71426492577034,6.46136024152204,4.20845555727373
"TX19CAS0058",0.589926803477341,5.82958609985708,-13.0715111636502,-11.95,1,0.5,-7.75579478352225,-7.04962530155423,5.82958609985708,-6.5357555818251,-7.24192506379313
"NF13-4214-4_5",-0.5305774708386,-29.6778776140088,28.6825426150274,-11.95,1,0.5,-8.99620552997383,6.34040077652127,-29.6778776140088,14.3412713075137,-0.995334998981392
"FLLA17069-52",0.298404369922672,2.20446658235832,-15.3903491837033,-11.95,1,0.5,-9.05664023006923,-3.56593222057593,2.20446658235832,-7.69517459185163,-13.1858826013449
"NF12AS-91-4_1",0.128589658935009,-10.6373965325187,5.99056910900765,-11.95,1,0.5,-9.17875840228819,-1.53664642427336,-10.6373965325187,2.99528455450383,-4.64682742351101
"NC21-6576",0.369324924924724,-4.76248625913729,-0.803664632179662,-11.95,1,0.5,-9.57775142807757,-4.41343285285045,-4.76248625913729,-0.401832316089831,-5.56615089131696
"NF05424_2",-0.497890691954655,-18.9726862667787,6.61561373429656,-11.95,1,0.5,-9.71508563077225,5.94979376885813,-18.9726862667787,3.30780686714828,-12.3570725324821
"NF13-4124-4_8",0.00318912375497985,-10.3369999398073,0.312456529510055,-11.95,1,0.5,-10.2188817039243,-0.0381100288720093,-10.3369999398073,0.156228264755028,-10.0245434102972
"FLLA17069-54",0.0583443065658825,-23.1837908590848,23.2648054597323,-11.95,1,0.5,-12.248602592681,-0.697214463462296,-23.1837908590848,11.6324027298661,0.081014600647439
"NF401_1",0.137894009367056,-8.73383357815959,-3.83200415629623,-11.95,1,0.5,-12.297669068244,-1.64783341193631,-8.73383357815959,-1.91600207814812,-12.5658377344558
"NF13-4173-4_6",0.137894009367056,-10.4968639140374,-0.350512728979635,-11.95,1,0.5,-12.3199536904636,-1.64783341193631,-10.4968639140374,-0.175256364489817,-10.8473766430171
"NF12AS-122-4_3",-0.105449904858026,-11.1454744529891,-5.51365707950358,-11.95,1,0.5,-12.6421766296874,1.26012636305342,-11.1454744529891,-2.75682853975179,-16.6591315324926
"LA15015SB-S50",0.162870841242551,-12.86841363774,2.89729317434612,-11.95,1,0.5,-13.3660736034155,-1.94630655284849,-12.86841363774,1.44864658717306,-9.97112046339391
"LA17075SBSS-29-1",0.0765082774556505,-11.8451681716217,-1.21455907084112,-11.95,1,0.5,-13.3667216226373,-0.914273915595023,-11.8451681716217,-0.607279535420559,-13.0597272424629
"TX19CAS0057",0.0541433120318984,-9.69721769458068,-6.90761752591638,-11.95,1,0.5,-13.7980390363201,-0.647012578781186,-9.69721769458068,-3.45380876295819,-16.6048352204971
"NC21-6505",0.735680648968267,-4.77118836610767,-1.5279664192985,-11.95,1,0.5,-14.3265553309277,-8.79138375517079,-4.77118836610767,-0.76398320964925,-6.29915478540617
"NF13-4153-4_2",0.0878780441432052,-14.2723528117656,-3.37719049994071,-11.95,1,0.5,-17.0110906892472,-1.0501426275113,-14.2723528117656,-1.68859524997036,-17.6495433117063
"Clav 4476",0.0837348419925542,-16.139631292857,-4.86642132391494,-11.95,1,0.5,-19.5734733166255,-1.00063136181102,-16.139631292857,-2.43321066195747,-21.006052616772
"FLLA17069-53",0.516217890881169,-10.0267273315037,-8.22020665049691,-11.95,1,0.5,-20.3056344527821,-6.16880379602997,-10.0267273315037,-4.11010332524846,-18.2469339820006
"SCLA17018SBSS-45-1",0.569292491520964,-19.7267087957521,3.67055916920611,-11.95,1,0.5,-24.6944744848245,-6.80304527367552,-19.7267087957521,1.83527958460305,-16.056149626546
"NC09-4503N",-0.14681983967649,-25.9776941770165,-2.06706572383508,-11.95,1,0.5,-25.2567299548,1.75449708413406,-25.9776941770165,-1.03353286191754,-28.0447599008516
"NC18-5877N",0.12564466775891,-28.2206198024388,5.11198262216864,-11.95,1,0.5,-27.1660822710735,-1.50145377971897,-28.2206198024388,2.55599131108432,-23.1086371802702
"Clav 7618",0.177744903042229,-29.0105286267008,2.43286748611591,-11.95,1,0.5,-29.9181464749975,-2.12405159135463,-29.0105286267008,1.21643374305795,-26.5776611405849
"FLLA16083-25",0.0720764869475817,-34.1143703829388,1.2029631715261,-11.95,1,0.5,-34.3742028161993,-0.861314019023601,-34.1143703829388,0.601481585763048,-32.9114072114127
"Clav 6982",0.269101428319434,-36.5471333858966,-0.842621402067661,-11.95,1,0.5,-40.1842061553476,-3.21576206841724,-36.5471333858966,-0.42131070103383,-37.3897547879642
