box_id,seed_id,inventory_date,inventory_person,weight_gram
WOP_2026_selections,NF12AS-73-4_3-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_241,2025-11-12,Adrian,668
WOP_2026_selections,OZARK|POGI-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_203,2025-11-12,Adrian,687
WOP_2026_selections,NC21-6492-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_127,2025-11-12,Adrian,711
WOP_2026_selections,PA7617-3658-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_53,2025-11-12,Adrian,542
WOP_2026_selections,PA7617-3658-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_201,2025-11-12,Adrian,772
WOP_2026_selections,PA7617-3658-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_202,2025-11-12,Adrian,733
