"plot_name","subplot_name","subplot_number","row_number","col_number","plot.subplot","crop_2","biomass_timepoint","biomass_T1","biomass_T2","biomass_T3"
"CU_ARS_2026_WOP_281","CU_ARS_2026_WOP_281_subplot_3",3,15,1,"281.3","oat-pea",3,NA,NA,1
"CU_ARS_2026_WOP_284","CU_ARS_2026_WOP_284_subplot_1",1,15,4,"284.1","oat-pea",3,NA,NA,1
"CU_ARS_2026_WOP_284","CU_ARS_2026_WOP_284_subplot_2",2,15,4,"284.2","oat-pea",2,NA,1,NA
"CU_ARS_2026_WOP_284","CU_ARS_2026_WOP_284_subplot_3",3,15,4,"284.3","oat-pea",1,1,NA,NA
"CU_ARS_2026_WOP_298","CU_ARS_2026_WOP_298_subplot_1",1,15,18,"298.1","oat-pea",2,NA,1,NA
"CU_ARS_2026_WOP_298","CU_ARS_2026_WOP_298_subplot_2",2,15,18,"298.2","oat-pea",1,1,NA,NA
"CU_ARS_2026_WOP_298","CU_ARS_2026_WOP_298_subplot_3",3,15,18,"298.3","oat-pea",3,NA,NA,1
"CU_ARS_2026_WOP_305","CU_ARS_2026_WOP_305_subplot_1",1,16,16,"305.1","oat-pea",2,NA,1,NA
"CU_ARS_2026_WOP_305","CU_ARS_2026_WOP_305_subplot_2",2,16,16,"305.2","oat-pea",3,NA,NA,1
"CU_ARS_2026_WOP_305","CU_ARS_2026_WOP_305_subplot_3",3,16,16,"305.3","oat-pea",1,1,NA,NA
"CU_ARS_2026_WOP_323","CU_ARS_2026_WOP_323_subplot_1",1,17,3,"323.1","oat-pea",2,NA,1,NA
"CU_ARS_2026_WOP_323","CU_ARS_2026_WOP_323_subplot_2",2,17,3,"323.2","oat-pea",3,NA,NA,1
"CU_ARS_2026_WOP_323","CU_ARS_2026_WOP_323_subplot_3",3,17,3,"323.3","oat-pea",1,1,NA,NA
"CU_ARS_2026_WOP_324","CU_ARS_2026_WOP_324_subplot_1",1,17,4,"324.1","oat-pea",2,NA,1,NA
"CU_ARS_2026_WOP_324","CU_ARS_2026_WOP_324_subplot_2",2,17,4,"324.2","oat-pea",1,1,NA,NA
"CU_ARS_2026_WOP_324","CU_ARS_2026_WOP_324_subplot_3",3,17,4,"324.3","oat-pea",3,NA,NA,1
"CU_ARS_2026_WOP_343","CU_ARS_2026_WOP_343_subplot_1",1,18,18,"343.1","oat-pea",3,NA,NA,1
"CU_ARS_2026_WOP_343","CU_ARS_2026_WOP_343_subplot_2",2,18,18,"343.2","oat-pea",2,NA,1,NA
"CU_ARS_2026_WOP_343","CU_ARS_2026_WOP_343_subplot_3",3,18,18,"343.3","oat-pea",1,1,NA,NA
"CU_ARS_2026_WOP_344","CU_ARS_2026_WOP_344_subplot_1",1,18,17,"344.1","pea",3,NA,NA,1
"CU_ARS_2026_WOP_344","CU_ARS_2026_WOP_344_subplot_2",2,18,17,"344.2","pea",1,1,NA,NA
"CU_ARS_2026_WOP_344","CU_ARS_2026_WOP_344_subplot_3",3,18,17,"344.3","pea",2,NA,1,NA
"CU_ARS_2026_WOP_369","CU_ARS_2026_WOP_369_subplot_1",1,19,9,"369.1","oat-pea",2,NA,1,NA
"CU_ARS_2026_WOP_369","CU_ARS_2026_WOP_369_subplot_2",2,19,9,"369.2","oat-pea",1,1,NA,NA
"CU_ARS_2026_WOP_369","CU_ARS_2026_WOP_369_subplot_3",3,19,9,"369.3","oat-pea",3,NA,NA,1
"CU_ARS_2026_WOP_381","CU_ARS_2026_WOP_381_subplot_1",1,20,20,"381.1","oat-pea",2,NA,1,NA
"CU_ARS_2026_WOP_381","CU_ARS_2026_WOP_381_subplot_2",2,20,20,"381.2","oat-pea",1,1,NA,NA
"CU_ARS_2026_WOP_381","CU_ARS_2026_WOP_381_subplot_3",3,20,20,"381.3","oat-pea",3,NA,NA,1
"CU_ARS_2026_WOP_388","CU_ARS_2026_WOP_388_subplot_1",1,20,13,"388.1","oat-pea",3,NA,NA,1
"CU_ARS_2026_WOP_388","CU_ARS_2026_WOP_388_subplot_2",2,20,13,"388.2","oat-pea",1,1,NA,NA
"CU_ARS_2026_WOP_388","CU_ARS_2026_WOP_388_subplot_3",3,20,13,"388.3","oat-pea",2,NA,1,NA
