"subplot_name","subplot_id","plot_name","accession_name","plot_number","block_number","is_a_control","rep_number","row_number","col_number","subplot_number"
"CU_ARS_2026_WOP_015_subplot_1","755713","CU_ARS_2026_WOP_015","FL16507-28","015","1","","1","1","15","1"
"CU_ARS_2026_WOP_015_subplot_2","755714","CU_ARS_2026_WOP_015","FL16507-28","015","1","","1","1","15","2"
"CU_ARS_2026_WOP_015_subplot_3","755715","CU_ARS_2026_WOP_015","FL16507-28","015","1","","1","1","15","3"
"CU_ARS_2026_WOP_016_subplot_1","756214","CU_ARS_2026_WOP_016","FL16507-28","016","1","","1","1","16","1"
"CU_ARS_2026_WOP_016_subplot_2","756215","CU_ARS_2026_WOP_016","FL16507-28","016","1","","1","1","16","2"
"CU_ARS_2026_WOP_016_subplot_3","756216","CU_ARS_2026_WOP_016","FL16507-28","016","1","","1","1","16","3"
"CU_ARS_2026_WOP_017_subplot_1","756235","CU_ARS_2026_WOP_017","FL16504-35","017","1","","1","1","17","1"
"CU_ARS_2026_WOP_017_subplot_2","756236","CU_ARS_2026_WOP_017","FL16504-35","017","1","","1","1","17","2"
"CU_ARS_2026_WOP_017_subplot_3","756237","CU_ARS_2026_WOP_017","FL16504-35","017","1","","1","1","17","3"
"CU_ARS_2026_WOP_018_subplot_1","756436","CU_ARS_2026_WOP_018","FL16504-35","018","1","","1","1","18","1"
"CU_ARS_2026_WOP_018_subplot_2","756437","CU_ARS_2026_WOP_018","FL16504-35","018","1","","1","1","18","2"
"CU_ARS_2026_WOP_018_subplot_3","756438","CU_ARS_2026_WOP_018","FL16504-35","018","1","","1","1","18","3"
"CU_ARS_2026_WOP_019_subplot_1","756046","CU_ARS_2026_WOP_019","Savage","019","1","","1","1","19","1"
"CU_ARS_2026_WOP_019_subplot_2","756047","CU_ARS_2026_WOP_019","Savage","019","1","","1","1","19","2"
"CU_ARS_2026_WOP_019_subplot_3","756048","CU_ARS_2026_WOP_019","Savage","019","1","","1","1","19","3"
"CU_ARS_2026_WOP_020_subplot_1","756100","CU_ARS_2026_WOP_020","Savage","020","1","","1","1","20","1"
"CU_ARS_2026_WOP_020_subplot_2","756101","CU_ARS_2026_WOP_020","Savage","020","1","","1","1","20","2"
"CU_ARS_2026_WOP_020_subplot_3","756102","CU_ARS_2026_WOP_020","Savage","020","1","","1","1","20","3"
"CU_ARS_2026_WOP_021_subplot_1","756211","CU_ARS_2026_WOP_021","NF13-4173-4_5","021","1","","1","2","20","1"
"CU_ARS_2026_WOP_021_subplot_2","756212","CU_ARS_2026_WOP_021","NF13-4173-4_5","021","1","","1","2","20","2"
"CU_ARS_2026_WOP_021_subplot_3","756213","CU_ARS_2026_WOP_021","NF13-4173-4_5","021","1","","1","2","20","3"
